ID;date_obs;day_death;estimated_day_death
Z057;19890222;0;0
Z058;19890326;0;19890323
Z000;19920820;0;0
Z045;19921224;0;0
Z002;19930306;0;0
Z003;19930308;0;0
Z046;19930314;0;0
Z006;19930626;0;19930626
Z047;19930717;0;0
Z048;19930719;0;0
Z007;19930827;19930826;0
Z052;19930927;0;0
Z008;19931018;19931018;0
Z012;19940109;0;0
Z015;19940506;0;0
Z018;19941029;0;19941026
Z019;19941031;19941030;0
Z053;19950228;19950228;0
Z023;19950403;19950403;0
Z027;19960310;19960310;0
Z054;19970110;0;0
Z030;19961109;19961109;0
Z055;19970404;0;0
Z032;19970414;0;0
Z035;19970721;0;19970707
Z036;19971028;0;19971028
Z037;19980219;0;19980218
Z039;19980316;0;19980316
Z041;19980609;0;19980609
Z042;19980615;0;19980614
Z085;20000214;20000214;0
Z102;20000430;0;0
Z108;20010218;0;20010216
Z109;20010420;0;0
Z110;20010429;0;0
Ccr556;20020331;0;0
Z112;20020807;0;0
Z115;20030224;0;20030222
Z123;20031029;20031029;0
Z117;20040530;0;0
Z118;20040825;20040825;0
Z119;20041220;0;0
Z122;20050318;0;0
Ccr1261;20050504;0;0
Z125;20060504;20060504;0
Z126;20060819;0;0
Z127;20060819;0;0
Z128;20060823;0;0
Z136;20070712;0;0
Z140;20110308;20110308;0
Z141;20110420;20110420;0
Z142;20110917;0;0
Z146;20120219;0;0
Z143;20120312;0;0
Z144;20120404;0;0
Z147;20130212;0;20130212
Z153;20130426;20130426;0
Z154;20130602;0;20130601
Z155;20131209;20131208;20131208
Z156;20140122;0;20140120
Z157;20140124;0;20140123
Z159;20140417;0;20140415
Z160;20150208;20150208;0
Z162;20150215;0;0
Z164;20150603;0;20150602
Z165;20150616;20150616;0
Z166;20150804;20150804;0
Z171;20160301;20160229;20160229
Z172;20160520;0;20160520
Z173;20160528;0;20160528
Z174;20160601;0;20160601
Z175;20160609;0;20160607
Z176;20160617;0;20160616
Z177;20160624;0;0
Z178;20160708;0;20160707
Z179;20160718;0;20160717
Z181;20161216;0;20161216
Z182;20170107;0;20170107
Z183A;20170712;0;0
Z183;20171204;0;0
Z185;20180316;20180316;0
Z186;20180706;0;0
Z187;20180811;0;0
P518;20190125;0;20190124
Z188;20190412;0;0
Z189;20190712;0;0
Z192;20191115;0;0
Z193;20200216;20200216;0
Z196;20200216;20200216;0
