ID;date_death
Z057;19890222
Z058;19890326
Z000;19920820
Z045;19921224
Z002;19930306
Z003;19930308
Z046;19930314
Z006;19930626
Z047;19930717
Z048;19930719
Z007;19930827
Z052;19930927
Z008;19931018
Z012;19940109
Z015;19940506
Z018;19941029
Z019;19941031
Z053;19950228
Z023;19950403
Z027;19960310
Z054;19970110
Z030;19961109
Z055;19970404
Z032;19970414
Z035;19970721
Z036;19971028
Z037;19980219
Z039;19980316
Z041;19980609
Z042;19980615
Z085;20000214
Z102;20000430
Z108;20010218
Z109;20010420
Z110;20010429
Ccr556;20020331
Z112;20020807
Z115;20030224
Z123;20031029
Z117;20040530
Z118;20040825
Z119;20041220
Z122;20050318
Ccr1261;20050504
Z125;20060504
Z126;20060819
Z127;20060819
Z128;20060823
Z136;20070712
Z140;20110308
Z141;20110420
Z142;20110917
Z146;20120219
Z143;20120312
Z144;20120404
Z147;20130212
Z153;20130426
Z154;20130602
Z155;20131209
Z156;20140122
Z157;20140124
Z159;20140417
Z160;20150208
Z162;20150215
Z164;20150603
Z165;20150616
Z166;20150804
Z171;20160301
Z172;20160520
Z173;20160528
Z174;20160601
Z175;20160609
Z176;20160617
Z177;20160624
Z178;20160708
Z179;20160718
Z181;20161216
Z182;20170107
Z183A;20170712
Z183;20171204
Z185;20180316
Z186;20180706
Z187;20180811
P518;20190125
Z188;20190412
Z189;20190712
Z192;20191115
Z193;20200216
Z196;20200216
