variable,mean,sd
nbr_carcasses,0.14788732394366197,0.5468806278742636
long_midpoint,34.834063729190724,0.20609228492850198
lat_midpoint,-2.4746625279565024,0.24724425727695343
length,2487.4318092412223,62.870023942238376
dist_from_center,30697.521270025623,18767.6730381392
distance_water_km,2.0869191668188605,2.9714180725289183
distance_amenity_km,5.0742253187875175,3.744218518832371
sparse_open_grassland,21.350610691604793,16.692216693210906
dense_closed_grassland,55.900472785984654,26.501991402629137
sparse_open_shrubland,0.9785239048940253,2.299503546802018
dense_closed_shrubland,3.7483909418044252,6.307868105546527
woodland,16.059166716104283,19.181732411150517
forest,1.8907056159513926,5.871722190160312
water,0.014731725103676619,0.19905026222660133
bare_ground,0.02807902211948289,0.3623497667136573
grassland,77.25108347758945,24.020908241986287
shrubland,4.726914846698451,6.730232798424263
